PicFileName,TrgCol,TrgCol2,CSName,UCSName,SoundName,stimType,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,BlankBkg2.started,BlankBkg2.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,49.87433839999903,None,49.87433839999903,None,space,1.338338899999144,49.87433839999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,51.248241999999664,None,51.248241999999664,52.23974669999916,52.25736829999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,1,1,2,,,,,,,,,,,,,,,,,54.33947219999936,None,54.33947219999936,55.322617300000275,55.33891349999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,2,2,8,,,,,,,,,,,,,,,,,57.51269299999876,None,57.51269299999876,58.50516710000011,58.521892699998716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,3,3,4,,,,,,,,,,,,,,,,,60.73865279999882,None,60.73865279999882,61.72202549999929,61.74056389999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,4,4,9,,,,,,,,,,,,,,,,,63.93831429999955,None,63.93831429999955,64.92152629999873,64.93831979999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,5,5,7,,,,,,,,,,,,,,,,,67.13788959999874,None,67.13788959999874,68.12128359999951,68.13814019999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,6,6,1,,,,,,,,,,,,,,,,,70.47105379999994,None,70.47105379999994,71.45451270000012,71.47071779999897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,7,7,6,,,,,,,,,,,,,,,,,73.77040339999985,None,73.77040339999985,74.75469580000026,74.77090569999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS-.PNG,0.4,0.1,,,,,0,8,8,5,,,,,,,,,,,,,,,,,76.85344759999862,None,76.85344759999862,77.83688869999969,77.85333469999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
PreCond1\CS+.PNG,-0.1,-0.1,,,,,0,9,9,3,,,,,,,,,,,,,,,,,80.08731259999877,None,80.08731259999877,81.06993759999932,81.08637859999908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.32440399999905,None,83.32440399999905,None,space,14.305157599999802,83.32440399999905,None,,,,,,,,,,,,,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,97.65561069999967,None,97.65561069999967,None,None,None,None,None,None,None,103.54693859999861,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,105.86728049999874,None,105.86728049999874,None,None,None,None,None,None,None,108.94394680000005,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,111.39780400000018,None,111.39780400000018,None,None,None,None,None,None,None,114.48956739999994,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,116.71024120000038,None,116.71024120000038,None,None,None,None,None,None,None,119.80452960000002,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,121.94162589999905,None,121.94162589999905,None,None,None,None,None,None,None,125.0491234000001,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,127.25326080000013,None,127.25326080000013,None,129.35973379999996,None,129.35973379999996,None,129.36944379999912,None,130.30713829999877,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,132.76194159999977,None,132.76194159999977,None,134.76194570000007,None,134.76194570000007,None,134.7621626499991,None,135.80466559999877,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,138.01197049999973,None,138.01197049999973,None,140.01161030000003,None,140.01161030000003,None,140.0120396499993,None,141.0830274,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,143.12820089999877,None,143.12820089999877,None,145.1281199999994,None,145.1281199999994,None,145.12796624999882,None,146.16258339999877,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,148.21123869999974,None,148.21123869999974,None,150.2117019999987,None,150.2117019999987,None,150.2115177499987,None,151.2507018999986,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0,0,Cond1\CS+.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,153.29370029999882,None,153.29370029999882,None,None,None,None,None,None,None,159.28535899999952,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,161.55945129999964,None,161.55945129999964,None,163.6889895000004,None,163.6889895000004,None,163.69362534999837,None,164.72889469999973,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,166.85931679999885,None,166.85931679999885,None,None,None,None,None,None,None,172.76949629999945,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9976814999991,None,174.9976814999991,None,None,None,None,None,None,None,178.04486059999908,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,14,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,180.26434319999862,None,180.26434319999862,None,None,None,None,None,None,None,183.37786099999903,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,185.61537469999894,None,185.61537469999894,None,187.71342319999894,None,187.71342319999894,None,187.7149974499991,None,188.65753359999871,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,-0.1,-0.1,Cond1\CS+.PNG,Cond1\UCS.PNG,Sound\2.wav,audio,,,,,0,16,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,191.01610230000006,None,191.01610230000006,None,193.01608490000035,None,193.01608490000035,None,193.01673894999894,None,194.0869743000003,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,196.4158067999997,None,196.4158067999997,None,None,None,None,None,None,None,202.4127083000003,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,204.772046099999,None,204.772046099999,None,None,None,None,None,None,None,207.90819369999917,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,0.4,0.1,Cond1\CS-.PNG,Cond1\blank.png,Sound\2.wav,visual,,,,,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,210.12863169999946,None,210.12863169999946,None,None,None,None,None,None,None,213.3509729999987,None,,,,,,,,,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.58523849999983,None,215.58523849999983,None,space,1.272864099999424,215.58523849999983,None,ffffs,001,2021_Aug_05_0002,FigureTest,2021.2.1,60.379071889051296,
